DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
12/28/2018,21139113904,Bought 16 TGT @ 65.0694,16,TGT,65.0694,4.95,-1046.06,,,,
12/28/2018,21139112637,Bought 15 ETN @ 68.58,15,ETN,68.58,4.95,-1033.65,,,,
12/26/2018,21106179074,Bought 25 BCE @ 39.4733,25,BCE,39.4733,4.95,-991.78,,,,
12/24/2018,21088555755,Bought 0.304 DUK @ 87.525,0.304,DUK,87.525,,-26.57,,,,
12/24/2018,21088555753,QUALIFIED DIVIDEND (DUK),,DUK,,,26.57,,,,
12/21/2018,21070970050,Bought 0.3 VFC @ 70.77,0.3,VFC,70.77,,-21.26,,,,
12/21/2018,21070970049,QUALIFIED DIVIDEND (VFC),,VFC,,,21.26,,,,
12/21/2018,21071159826,Bought 0.578 D @ 76.0792,0.578,D,76.0792,,-44.00,,,,
12/21/2018,21071159825,QUALIFIED DIVIDEND (D),,D,,,44.00,,,,
12/18/2018,21019525716,Bought 0.147 NEE @ 176.5014,0.147,NEE,176.5014,,-25.94,,,,
12/18/2018,21019525715,QUALIFIED DIVIDEND (NEE),,NEE,,,25.94,,,,
12/17/2018,21003984154,Sold 0.145 MKC @ 149.56,0.145,MKC,149.56,,21.69,,,,
12/17/2018,21001726536,Bought 0.728 KHC @ 47.5515,0.728,KHC,47.5515,,-34.61,,,,
12/17/2018,21001726535,QUALIFIED DIVIDEND (KHC),,KHC,,,34.61,,,,
12/17/2018,21001678502,Bought 0.15 HSY @ 106.7091,0.15,HSY,106.7091,,-16.05,,,,
12/17/2018,21001678501,QUALIFIED DIVIDEND (HSY),,HSY,,,16.05,,,,
12/17/2018,21001847982,Bought 0.112 O @ 65.2348,0.112,O,65.2348,,-7.31,,,,
12/17/2018,21001847981,ORDINARY DIVIDEND (O),,O,,,7.31,,,,
12/17/2018,21000403872,Sold 11 MKC @ 149.56,11,MKC,149.56,4.95,1640.19,0.02,,,
12/14/2018,20987679320,Bought 0.146 MSFT @ 107.8699,0.146,MSFT,107.8699,,-15.76,,,,
12/14/2018,20987679319,QUALIFIED DIVIDEND (MSFT),,MSFT,,,15.76,,,,
12/04/2018,20893671281,Bought 0.281 WEC @ 73.9095,0.281,WEC,73.9095,,-20.79,,,,
12/04/2018,20893671280,QUALIFIED DIVIDEND (WEC),,WEC,,,20.79,,,,
11/27/2018,20817424565,Bought 0.27 WELL @ 69.7632,0.27,WELL,69.7632,,-18.81,,,,
11/27/2018,20817424564,ORDINARY DIVIDEND (WELL),,WELL,,,18.81,,,,
11/19/2018,20768701800,QUALIFIED DIVIDEND (TXN),,TXN,,,8.47,,,,
