DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
01/06/2020,24409683741,QUALIFIED DIVIDEND (KMB),,KMB,,,21.66,,,,
01/08/2020,24439367770,QUALIFIED DIVIDEND (PEP),,PEP,,,31.03,,,,
01/14/2020,24494358669,QUALIFIED DIVIDEND (MKC),,MKC,,,6.29,,,,
01/23/2020,24578817108,QUALIFIED DIVIDEND (CSCO),,CSCO,,,15.68,,,,
02/04/2020,24715482359,QUALIFIED DIVIDEND (VZ),,VZ,,,15.94,,,,
02/14/2020,24836105151,QUALIFIED DIVIDEND (AAPL),,AAPL,,,11.85,,,,
02/24/2020,24912253357,QUALIFIED DIVIDEND (SBUX),,SBUX,,,17.96,,,,
03/10/2020,25150281962,QUALIFIED DIVIDEND (CVX),,CVX,,,34.97,,,,
03/11/2020,25190642696,QUALIFIED DIVIDEND (JNJ),,JNJ,,,33.85,,,,
03/12/2020,25199952922,QUALIFIED DIVIDEND (MMM),,MMM,,,18.11,,,,
03/13/2020,25244033115,QUALIFIED DIVIDEND (MSFT),,MSFT,,,14.66,,,,
03/23/2020,25399839884,QUALIFIED DIVIDEND (D),,D,,,40.79,,,,
04/01/2020,25627738655,QUALIFIED DIVIDEND (PEP),,PEP,,,23.61,,,,
04/02/2020,25656388064,QUALIFIED DIVIDEND (KO),,KO,,,10.56,,,,
04/03/2020,25681285203,QUALIFIED DIVIDEND (KMB),,KMB,,,22.67,,,,
04/28/2020,26056554637,QUALIFIED DIVIDEND (MKC),,MKC,,,5.08,,,,
05/04/2020,26184749477,QUALIFIED DIVIDEND (VZ),,VZ,,,12.41,,,,
05/15/2020,26404489495,QUALIFIED DIVIDEND (AAPL),,AAPL,,,3.63,,,,
05/26/2020,26544749742,QUALIFIED DIVIDEND (SBUX),,SBUX,,,6.56,,,,
06/10/2020,26885237324,QUALIFIED DIVIDEND (JNJ),,JNJ,,,15.03,,,,
06/12/2020,26951426154,QUALIFIED DIVIDEND (MSFT),,MSFT,,,4.00,,,,
06/23/2020,27142810800,QUALIFIED DIVIDEND (D),,D,,,18.85,,,,
07/01/2020,27355208272,QUALIFIED DIVIDEND (PEP),,PEP,,,27.52,,,,
07/02/2020,27386716960,QUALIFIED DIVIDEND (KO),,KO,,,19.68,,,,
07/06/2020,27417018953,QUALIFIED DIVIDEND (KMB),,KMB,,,12.16,,,,
07/17/2020,27672914040,QUALIFIED DIVIDEND (MDT),,MDT,,,11.60,,,,
07/21/2020,27722710281,QUALIFIED DIVIDEND (MKC),,MKC,,,5.10,,,,
08/04/2020,28003340080,QUALIFIED DIVIDEND (VZ),,VZ,,,12.55,,,,
***END OF FILE***
