DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
01/03/2017,2722876584,REDEMPTION (T),3,T,,,0.00,,,,
01/03/2017,2722876561,REDEMPTION (T),3,T,,,0.00,,,,
01/04/2017,2731093378,MISCELLANEOUS JOURNAL ENTRY (KMB),,KMB,,,18.40,,,,
01/04/2017,2731093366,ORDINARY DIVIDEND (KMB),,KMB,,,18.40,,,,
01/04/2017,2731093372,MISCELLANEOUS JOURNAL ENTRY (KMB),,KMB,,,-18.40,,,,
01/06/2017,2737307979,MISCELLANEOUS JOURNAL ENTRY (PEP),,PEP,,,8.28,,,,
01/06/2017,2737307961,ORDINARY DIVIDEND (PEP),,PEP,,,8.28,,,,
01/06/2017,2737307971,MISCELLANEOUS JOURNAL ENTRY (PEP),,PEP,,,-8.28,,,,
01/10/2017,2739460762,MISCELLANEOUS JOURNAL ENTRY (PM),,PM,,,38.48,,,,
01/10/2017,2739460722,Sold 32 AVA @ 38.89,32,AVA,38.89,7.00,1237.46,,,,
01/10/2017,2739460733,Sold 1 AVA @ 38.89,1,AVA,38.89,,38.89,,,,
01/10/2017,2739460742,ORDINARY DIVIDEND (PM),,PM,,,38.48,,,,
01/10/2017,2739460751,MISCELLANEOUS JOURNAL ENTRY (PM),,PM,,,-38.48,,,,
01/13/2017,2743575778,MISCELLANEOUS JOURNAL ENTRY,,,,,-1276.35,,,,
01/25/2017,2737867092,MISCELLANEOUS JOURNAL ENTRY (GE),,GE,,,22.08,,,,
01/25/2017,2737867068,ORDINARY DIVIDEND (GE),,GE,,,22.08,,,,
01/25/2017,2737867076,MISCELLANEOUS JOURNAL ENTRY (GE),,GE,,,-22.08,,,,
01/31/2017,2747056030,MISCELLANEOUS JOURNAL ENTRY,,,,,0.00,,,,
02/01/2017,2605132370,MISCELLANEOUS JOURNAL ENTRY (T),,T,,,11.27,,,,
02/01/2017,2605132380,MISCELLANEOUS JOURNAL ENTRY (VZ),,VZ,,,13.86,,,,
02/01/2017,2604882678,ORDINARY DIVIDEND (T),,T,,,11.27,,,,
02/01/2017,2604882690,MISCELLANEOUS JOURNAL ENTRY (T),,T,,,-11.27,,,,
02/01/2017,2604882705,ORDINARY DIVIDEND (VZ),,VZ,,,13.86,,,,
02/01/2017,2604882730,MISCELLANEOUS JOURNAL ENTRY (VZ),,VZ,,,-13.86,,,,
02/06/2017,2606706170,Bought 18 D @ 71.7,18,D,71.70,7.00,-1297.60,,,,
02/09/2017,2615576306,MISCELLANEOUS JOURNAL ENTRY,,,,,1297.60,,,,
02/15/2017,2604862363,REDEMPTION (D),1,D,,,0.00,,,,
02/15/2017,2604862380,Bought 1 D @ 72.185,1,D,72.185,,-72.19,,,,
02/15/2017,2604862347,REDEMPTION (D),1,D,,,0.00,,,,
02/16/2017,2606923461,MISCELLANEOUS JOURNAL ENTRY (AAPL),,AAPL,,,8.55,,,,
02/16/2017,2606923446,ORDINARY DIVIDEND (AAPL),,AAPL,,,8.55,,,,
02/16/2017,2606923455,MISCELLANEOUS JOURNAL ENTRY (AAPL),,AAPL,,,-8.55,,,,
02/17/2017,2613200225,REDEMPTION (KO),1,KO,,,0.00,,,,
02/17/2017,2613200259,Bought 1 KO @ 41.1995,1,KO,41.1995,,-41.20,,,,
02/17/2017,2613200215,REDEMPTION (KO),1,KO,,,0.00,,,,
02/21/2017,2610308928,REDEMPTION (D),1,D,,,0.00,,,,
02/21/2017,2610308918,REDEMPTION (D),1,D,,,0.00,,,,
02/23/2017,2615379162,REDEMPTION (KO),1,KO,,,0.00,,,,
02/23/2017,2615379153,REDEMPTION (KO),1,KO,,,0.00,,,,
03/09/2017,2502361072,MISCELLANEOUS JOURNAL ENTRY (MSFT),,MSFT,,,10.92,,,,
03/09/2017,2501288696,ORDINARY DIVIDEND (MSFT),,MSFT,,,10.92,,,,
03/09/2017,2501288704,MISCELLANEOUS JOURNAL ENTRY (MSFT),,MSFT,,,-10.92,,,,
03/10/2017,2503088069,MISCELLANEOUS JOURNAL ENTRY (CVX),,CVX,,,15.12,,,,
03/10/2017,2503088083,MISCELLANEOUS JOURNAL ENTRY (XOM),,XOM,,,11.25,,,,
03/10/2017,2503087641,ORDINARY DIVIDEND (CVX),,CVX,,,15.12,,,,
03/10/2017,2503087653,MISCELLANEOUS JOURNAL ENTRY (CVX),,CVX,,,-15.12,,,,
03/10/2017,2503088025,ORDINARY DIVIDEND (XOM),,XOM,,,11.25,,,,
03/10/2017,2503088031,MISCELLANEOUS JOURNAL ENTRY (XOM),,XOM,,,-11.25,,,,
03/14/2017,2504778494,MISCELLANEOUS JOURNAL ENTRY (JNJ),,JNJ,,,27.20,,,,
03/14/2017,2504778478,ORDINARY DIVIDEND (JNJ),,JNJ,,,27.20,,,,
03/14/2017,2504778486,MISCELLANEOUS JOURNAL ENTRY (JNJ),,JNJ,,,-27.20,,,,
03/17/2017,2499222344,REDEMPTION (KO),1,KO,,,0.00,,,,
03/17/2017,2499222352,Bought 1 KO @ 42.279,1,KO,42.279,,-42.28,,,,
03/17/2017,2499222337,REDEMPTION (KO),1,KO,,,0.00,,,,
03/20/2017,2499366148,MISCELLANEOUS JOURNAL ENTRY (D),,D,,,27.94,,,,
03/20/2017,2499551751,ORDINARY DIVIDEND (D),,D,,,27.94,,,,
03/20/2017,2499551762,MISCELLANEOUS JOURNAL ENTRY (D),,D,,,-27.94,,,,
03/22/2017,2501162266,REDEMPTION (KO),1,KO,,,0.00,,,,
03/22/2017,2501162255,REDEMPTION (KO),1,KO,,,0.00,,,,
03/28/2017,2502976194,REDEMPTION (KO),1,KO,,,0.00,,,,
03/28/2017,2502976231,Bought 1 KO @ 42.4368,1,KO,42.4368,,-42.44,,,,
03/28/2017,2502976169,REDEMPTION (KO),1,KO,,,0.00,,,,
03/31/2017,2506786898,REDEMPTION (KO),1,KO,,,0.00,,,,
03/31/2017,2506786907,MISCELLANEOUS JOURNAL ENTRY (PEP),,PEP,,,8.28,,,,
03/31/2017,2506786860,REDEMPTION (KO),1,KO,,,0.00,,,,
03/31/2017,2506786880,ORDINARY DIVIDEND (PEP),,PEP,,,8.28,,,,
03/31/2017,2506786890,MISCELLANEOUS JOURNAL ENTRY (PEP),,PEP,,,-8.28,,,,
04/03/2017,2417603276,MISCELLANEOUS JOURNAL ENTRY (KO),,KO,,,22.94,,,,
04/03/2017,2417603220,ORDINARY DIVIDEND (KO),,KO,,,22.94,,,,
04/03/2017,2417603256,MISCELLANEOUS JOURNAL ENTRY (KO),,KO,,,-22.94,,,,
04/04/2017,2425699738,MISCELLANEOUS JOURNAL ENTRY (KMB),,KMB,,,19.40,,,,
04/04/2017,2425440661,ORDINARY DIVIDEND (KMB),,KMB,,,19.40,,,,
04/04/2017,2425699733,MISCELLANEOUS JOURNAL ENTRY (KMB),,KMB,,,-19.40,,,,
04/10/2017,2417625857,REDEMPTION (T),1,T,,,0.00,,,,
04/10/2017,2417625874,Bought 1 T @ 40.4362,1,T,40.4362,,-40.44,,,,
04/10/2017,2417625850,REDEMPTION (T),1,T,,,0.00,,,,
04/11/2017,2424948374,MISCELLANEOUS JOURNAL ENTRY (PM),,PM,,,38.48,,,,
04/11/2017,2424948319,ORDINARY DIVIDEND (PM),,PM,,,38.48,,,,
04/11/2017,2424948334,MISCELLANEOUS JOURNAL ENTRY (PM),,PM,,,-38.48,,,,
04/13/2017,2417705191,REDEMPTION (T),1,T,,,0.00,,,,
04/13/2017,2417705185,REDEMPTION (T),1,T,,,0.00,,,,
04/25/2017,2417699980,MISCELLANEOUS JOURNAL ENTRY (GE),,GE,,,22.08,,,,
04/25/2017,2417699968,ORDINARY DIVIDEND (GE),,GE,,,22.08,,,,
04/25/2017,2417699974,MISCELLANEOUS JOURNAL ENTRY (GE),,GE,,,-22.08,,,,
05/01/2017,2334118611,MISCELLANEOUS JOURNAL ENTRY (T),,T,,,11.27,,,,
05/01/2017,2334118617,MISCELLANEOUS JOURNAL ENTRY (VZ),,VZ,,,13.86,,,,
05/01/2017,2334018035,ORDINARY DIVIDEND (T),,T,,,11.27,,,,
05/01/2017,2334018045,MISCELLANEOUS JOURNAL ENTRY (T),,T,,,-11.27,,,,
05/01/2017,2334018066,ORDINARY DIVIDEND (VZ),,VZ,,,13.86,,,,
05/01/2017,2334018077,MISCELLANEOUS JOURNAL ENTRY (VZ),,VZ,,,-13.86,,,,
05/04/2017,2345625439,REDEMPTION (CVX),1,CVX,,,0.00,,,,
05/04/2017,2345625486,Bought 1 CVX @ 104.403,1,CVX,104.403,,-104.40,,,,
05/04/2017,2345614195,REDEMPTION (CVX),1,CVX,,,0.00,,,,
05/09/2017,2350851900,REDEMPTION (CVX),1,CVX,,,0.00,,,,
05/09/2017,2350851892,REDEMPTION (CVX),1,CVX,,,0.00,,,,
05/18/2017,2339963148,MISCELLANEOUS JOURNAL ENTRY (AAPL),,AAPL,,,9.45,,,,
05/18/2017,2339963127,ORDINARY DIVIDEND (AAPL),,AAPL,,,9.45,,,,
05/18/2017,2339963139,MISCELLANEOUS JOURNAL ENTRY (AAPL),,AAPL,,,-9.45,,,,
06/08/2017,2245410690,MISCELLANEOUS JOURNAL ENTRY (MSFT),,MSFT,,,10.92,,,,
06/08/2017,2245410672,ORDINARY DIVIDEND (MSFT),,MSFT,,,10.92,,,,
06/08/2017,2245410681,MISCELLANEOUS JOURNAL ENTRY (MSFT),,MSFT,,,-10.92,,,,
