DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
12/24/2018,21088555753,QUALIFIED DIVIDEND (DUK),,DUK,,,26.57,,,,
12/21/2018,21070970049,QUALIFIED DIVIDEND (VFC),,VFC,,,21.26,,,,
12/21/2018,21071159825,QUALIFIED DIVIDEND (D),,D,,,44.00,,,,
12/18/2018,21019525715,QUALIFIED DIVIDEND (NEE),,NEE,,,25.94,,,,
12/17/2018,21001726535,QUALIFIED DIVIDEND (KHC),,KHC,,,34.61,,,,
12/17/2018,21001678501,QUALIFIED DIVIDEND (HSY),,HSY,,,16.05,,,,
12/17/2018,21001847981,ORDINARY DIVIDEND (O),,O,,,7.31,,,,
12/14/2018,20987679319,QUALIFIED DIVIDEND (MSFT),,MSFT,,,15.76,,,,
12/04/2018,20893671280,QUALIFIED DIVIDEND (WEC),,WEC,,,20.79,,,,
11/27/2018,20817424564,ORDINARY DIVIDEND (WELL),,WELL,,,18.81,,,,
11/19/2018,20768701800,QUALIFIED DIVIDEND (TXN),,TXN,,,8.47,,,,
11/16/2018,20762591501,QUALIFIED DIVIDEND (ABT),,ABT,,,4.24,,,,
11/16/2018,20762508696,ORDINARY DIVIDEND (O),,O,,,7.29,,,,
11/16/2018,20762700027,QUALIFIED DIVIDEND (LNT),,LNT,,,10.21,,,,
11/16/2018,20762292459,QUALIFIED DIVIDEND (HRL),,HRL,,,13.26,,,,
11/08/2018,20706394712,QUALIFIED DIVIDEND (LOW),,LOW,,,7.27,,,,
11/05/2018,20668196235,QUALIFIED DIVIDEND (CBRL),,CBRL,,,8.75,,,,
11/02/2018,20661822015,QUALIFIED DIVIDEND (T),,T,,,47.71,,,,
11/02/2018,20662177590,QUALIFIED DIVIDEND (VZ),,VZ,,,26.98,,,,
11/02/2018,20661735128,QUALIFIED DIVIDEND (GIS),,GIS,,,19.04,,,,
11/01/2018,20648466704,QUALIFIED DIVIDEND (TD),,TD,,,11.41,,,,
10/24/2018,20559211756,QUALIFIED DIVIDEND (MKC),,MKC,,,5.77,,,,
10/16/2018,20507525810,ORDINARY DIVIDEND (O),,O,,,7.26,,,,
10/16/2018,20507568564,QUALIFIED DIVIDEND (SRE),,SRE,,,17.27,,,,
10/15/2018,20497937331,QUALIFIED DIVIDEND (BCE),,BCE,,,14.55,,,,
10/09/2018,20444429869,QUALIFIED DIVIDEND (ITW),,ITW,,,8.00,,,,
10/02/2018,20387065833,QUALIFIED DIVIDEND (ADP),,ADP,,,12.55,,,,
10/02/2018,20385282704,QUALIFIED DIVIDEND (GPC),,GPC,,,17.56,,,,
09/26/2018,20294673998,QUALIFIED DIVIDEND (DUK),,DUK,,,26.27,,,,
09/21/2018,20264661128,QUALIFIED DIVIDEND (D),,D,,,43.49,,,,
09/21/2018,20264546046,QUALIFIED DIVIDEND (VFC),,VFC,,,19.08,,,,
09/18/2018,20236568519,QUALIFIED DIVIDEND (NEE),,NEE,,,25.78,,,,
09/17/2018,20226241705,QUALIFIED DIVIDEND (KHC),,KHC,,,34.24,,,,
09/17/2018,20226186539,QUALIFIED DIVIDEND (HSY),,HSY,,,15.94,,,,
09/17/2018,20226349486,ORDINARY DIVIDEND (O),,O,,,7.22,,,,
09/14/2018,20214721625,QUALIFIED DIVIDEND (MSFT),,MSFT,,,14.34,,,,
09/10/2018,20165227288,QUALIFIED DIVIDEND (TGT),,TGT,,,21.93,,,,
09/05/2018,20135380824,QUALIFIED DIVIDEND (WEC),,WEC,,,20.63,,,,
08/24/2018,20043558950,ORDINARY DIVIDEND (WELL),,WELL,,,18.56,,,,
08/16/2018,19993414012,QUALIFIED DIVIDEND (HRL),,HRL,,,13.19,,,,
08/16/2018,19993634392,QUALIFIED DIVIDEND (ABT),,ABT,,,4.22,,,,
08/16/2018,19993581101,ORDINARY DIVIDEND (O),,O,,,7.19,,,,
08/16/2018,19993747643,QUALIFIED DIVIDEND (LNT),,LNT,,,10.13,,,,
08/09/2018,19948031596,QUALIFIED DIVIDEND (LOW),,LOW,,,7.24,,,,
08/06/2018,19913092008,QUALIFIED DIVIDEND (CBRL),,CBRL,,,8.75,,,,
08/03/2018,19901788295,QUALIFIED DIVIDEND (CBRL),,CBRL,,,26.25,,,,
08/02/2018,19898482260,QUALIFIED DIVIDEND (T),,T,,,46.98,,,,
08/02/2018,19898820854,QUALIFIED DIVIDEND (VZ),,VZ,,,26.12,,,,
08/02/2018,19898399991,QUALIFIED DIVIDEND (GIS),,GIS,,,18.83,,,,
08/01/2018,19886231246,QUALIFIED DIVIDEND (TD),,TD,,,11.42,,,,
07/24/2018,19801577149,QUALIFIED DIVIDEND (MKC),,MKC,,,5.75,,,,
07/17/2018,19764789992,QUALIFIED DIVIDEND (SRE),,SRE,,,17.14,,,,
07/16/2018,19756589577,ORDINARY DIVIDEND (O),,O,,,7.16,,,,
07/03/2018,19674556964,QUALIFIED DIVIDEND (GPC),,GPC,,,17.42,,,,
07/03/2018,19673296979,QUALIFIED DIVIDEND (ADP),,ADP,,,12.49,,,,
06/22/2018,19552680176,QUALIFIED DIVIDEND (DUK),,DUK,,,24.92,,,,
06/21/2018,19542058371,QUALIFIED DIVIDEND (D),,D,,,42.95,,,,
06/19/2018,19519948101,QUALIFIED DIVIDEND (VFC),,VFC,,,18.98,,,,
