DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,NET CASH BALANCE,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
07/16/2020,27649220338,QUALIFIED DIVIDEND (BCE),,BCE,,,26.93,---,,,,
07/16/2020,27649026182,ORDINARY DIVIDEND (O),,O,,,3.99,---,,,,
07/16/2020,27648751832,QUALIFIED DIVIDEND (ITW),,ITW,,,15.64,---,,,,
07/02/2020,27386507639,QUALIFIED DIVIDEND (ADP),,ADP,,,11.67,---,,,,
06/30/2020,27273584676,QUALIFIED DIVIDEND (UNP),,UNP,,,7.76,---,,,,
06/26/2020,27208198968,QUALIFIED DIVIDEND (NVDA),,NVDA,,,1.44,---,,,,
06/23/2020,27142810773,QUALIFIED DIVIDEND (D),,D,,,19.42,---,,,,
06/16/2020,27011322524,ORDINARY DIVIDEND (O),,O,,,3.97,---,,,,
06/12/2020,26951426057,QUALIFIED DIVIDEND (MSFT),,MSFT,,,3.58,---,,,,
06/10/2020,26860871107,QUALIFIED DIVIDEND (IBM),,IBM,,,16.30,---,,,,
06/05/2020,26757070503,QUALIFIED DIVIDEND (HON),,HON,,,8.10,---,,,,
05/19/2020,26455893693,QUALIFIED DIVIDEND (TXN),,TXN,,,13.85,---,,,,
05/18/2020,26430852824,QUALIFIED DIVIDEND (ABT),,ABT,,,5.28,---,,,,
05/18/2020,26430884780,ORDINARY DIVIDEND (O),,O,,,3.95,---,,,,
05/15/2020,26404489287,QUALIFIED DIVIDEND (AAPL),,AAPL,,,3.42,---,,,,
05/04/2020,26184890280,QUALIFIED DIVIDEND (T),,T,,,29.40,---,,,,
05/04/2020,26184749271,QUALIFIED DIVIDEND (VZ),,VZ,,,12.74,---,,,,
04/30/2020,26086753582,QUALIFIED DIVIDEND (SYK),,SYK,,,5.75,---,,,,
04/16/2020,25881806328,ORDINARY DIVIDEND (O),,O,,,3.94,---,,,,
04/16/2020,25881540886,QUALIFIED DIVIDEND (BCE),,BCE,,,31.30,---,,,,
04/16/2020,25881346209,QUALIFIED DIVIDEND (ITW),,ITW,,,9.15,---,,,,
04/02/2020,25656748737,QUALIFIED DIVIDEND (ADP),,ADP,,,7.97,---,,,,
03/26/2020,25459508222,QUALIFIED DIVIDEND (QCOM),,QCOM,,,8.06,---,,,,
03/25/2020,25450035036,QUALIFIED DIVIDEND (DUK),,DUK,,,28.52,---,,,,
03/23/2020,25400670613,QUALIFIED DIVIDEND (RDS B),,RDS B,,,18.80,---,,,,
03/23/2020,25399839858,QUALIFIED DIVIDEND (D),,D,,,52.46,---,,,,
03/20/2020,25357497389,QUALIFIED DIVIDEND (KTB),,KTB,,,3.36,---,,,,
03/16/2020,25271834157,ORDINARY DIVIDEND (O),,O,,,8.08,---,,,,
03/16/2020,25260209777,QUALIFIED DIVIDEND (NEE),,NEE,,,33.71,---,,,,
03/13/2020,25244033064,QUALIFIED DIVIDEND (MSFT),,MSFT,,,17.80,---,,,,
03/04/2020,25074945432,ORDINARY DIVIDEND (WELL),,WELL,,,19.87,---,,,,
03/03/2020,25058045586,QUALIFIED DIVIDEND (WEC),,WEC,,,24.65,---,,,,
02/19/2020,24866766533,QUALIFIED DIVIDEND (HRL),,HRL,,,16.84,---,,,,
02/19/2020,24866749803,QUALIFIED DIVIDEND (LNT),,LNT,,,12.01,---,,,,
02/18/2020,24852142100,ORDINARY DIVIDEND (O),,O,,,8.06,---,,,,
02/18/2020,24852157972,QUALIFIED DIVIDEND (ABT),,ABT,,,11.00,---,,,,
02/14/2020,24836104991,QUALIFIED DIVIDEND (AAPL),,AAPL,,,7.82,---,,,,
02/11/2020,24793101085,QUALIFIED DIVIDEND (TXN),,TXN,,,10.18,---,,,,
02/05/2020,24721408115,QUALIFIED DIVIDEND (CBRL),,CBRL,,,9.55,---,,,,
02/04/2020,24715569644,QUALIFIED DIVIDEND (T),,T,,,53.62,---,,,,
02/04/2020,24715482260,QUALIFIED DIVIDEND (VZ),,VZ,,,29.04,---,,,,
02/03/2020,24698910431,QUALIFIED DIVIDEND (TD),,TD,,,13.12,---,,,,
02/03/2020,24685953805,QUALIFIED DIVIDEND (CVS),,CVS,,,10.00,---,,,,
01/16/2020,24524576321,QUALIFIED DIVIDEND (BCE),,BCE,,,31.76,---,,,,
01/16/2020,24524423902,ORDINARY DIVIDEND (O),,O,,,7.86,---,,,,
01/16/2020,24524185357,QUALIFIED DIVIDEND (ITW),,ITW,,,17.61,---,,,,
01/03/2020,24393060575,QUALIFIED DIVIDEND (ADP),,ADP,,,16.98,---,,,,
01/03/2020,24392977302,QUALIFIED DIVIDEND (GPC),,GPC,,,19.30,---,,,,
***END OF FILE***
