DATE,TRANSACTION ID,DESCRIPTION,QUANTITY,SYMBOL,PRICE,COMMISSION,AMOUNT,REG FEE,SHORT-TERM RDM FEE,FUND REDEMPTION FEE, DEFERRED SALES CHARGE
01/06/2020,24409683741,QUALIFIED DIVIDEND (KMB),,KMB,,,21.66,,,,
01/06/2020,24409683748,Bought 0.159 KMB @ 135.8008,0.159,KMB,135.8008,,-21.66,,,,
01/08/2020,24439367770,QUALIFIED DIVIDEND (PEP),,PEP,,,31.03,,,,
01/08/2020,24439367771,Bought 0.23 PEP @ 134.7077,0.23,PEP,134.7077,,-31.03,,,,
01/14/2020,24494358669,QUALIFIED DIVIDEND (MKC),,MKC,,,6.29,,,,
01/14/2020,24494358671,Bought 0.038 MKC @ 166.033,0.038,MKC,166.033,,-6.29,,,,
01/23/2020,24578817108,QUALIFIED DIVIDEND (CSCO),,CSCO,,,15.68,,,,
01/23/2020,24578817110,Bought 0.321 CSCO @ 48.9151,0.321,CSCO,48.9151,,-15.68,,,,
01/31/2020,24661207218,Bought 10 CVX @ 107.0601,10,CVX,107.0601,0.00,-1070.60,,,,
02/04/2020,24715482359,QUALIFIED DIVIDEND (VZ),,VZ,,,15.94,,,,
02/04/2020,24715482363,Bought 0.273 VZ @ 58.2984,0.273,VZ,58.2984,,-15.94,,,,
02/04/2020,24717715170,Bought 6 MKC @ 161.8897,6,MKC,161.8897,0.00,-971.34,,,,
02/14/2020,24836105151,QUALIFIED DIVIDEND (AAPL),,AAPL,,,11.85,,,,
02/14/2020,24836105152,Bought 0.036 AAPL @ 324.9763,0.036,AAPL,324.9763,,-11.85,,,,
02/24/2020,24912253357,QUALIFIED DIVIDEND (SBUX),,SBUX,,,17.96,,,,
02/24/2020,24912253361,Bought 0.211 SBUX @ 85.2396,0.211,SBUX,85.2396,,-17.96,,,,
02/25/2020,24926406465,Bought 5 MMM @ 152.005,5,MMM,152.005,0.00,-760.03,,,,
02/27/2020,24961633731,Sold 27 CVX @ 96.435,27,CVX,96.435,0.00,2603.69,0.06,,,
02/27/2020,24961731069,Sold 11 SBUX @ 79.195,11,SBUX,79.195,0.00,871.13,0.02,,,
02/27/2020,24961836582,Sold 17 JNJ @ 142.195,17,JNJ,142.195,0.00,2417.27,0.05,,,
02/27/2020,24961843767,Sold 8 PEP @ 139.77,8,PEP,139.77,0.00,1118.14,0.02,,,
02/27/2020,24961855595,Sold 17 KO @ 56.315,17,KO,56.315,0.00,957.34,0.02,,,
02/27/2020,24966252126,Sold 0.111 CVX @ 96.44,0.111,CVX,96.44,,10.70,,,,
03/02/2020,25035189405,Bought 10 VZ @ 56.465,10,VZ,56.465,0.00,-564.65,,,,
03/06/2020,25123128203,Bought 1 GOOG @ 1267.55,1,GOOG,1267.55,0.00,-1267.55,,,,
03/06/2020,25123145916,Bought 6 FB @ 176.9323,6,FB,176.9323,0.00,-1061.59,,,,
03/09/2020,25144052248,Bought 1 AMZN @ 1824.251,1,AMZN,1824.251,0.00,-1824.25,,,,
03/10/2020,25150281962,QUALIFIED DIVIDEND (CVX),,CVX,,,34.97,,,,
03/11/2020,25189819153,Sold 8 AAPL @ 279.1437,8,AAPL,279.1437,0.00,2233.10,0.05,,,
03/11/2020,25189836508,Sold 12 PEP @ 130.865,12,PEP,130.865,0.00,1570.35,0.03,,,
03/11/2020,25189838672,Sold 8 MKC @ 147.42,8,MKC,147.42,0.00,1179.33,0.03,,,
03/11/2020,25189842053,Sold 26 KO @ 52.1458,26,KO,52.1458,0.00,1355.76,0.03,,,
03/11/2020,25189848793,Sold 45 CSCO @ 38.075,45,CSCO,38.075,0.00,1713.33,0.05,,,
03/11/2020,25189854487,Sold 17 SBUX @ 71.58,17,SBUX,71.58,0.00,1216.83,0.03,,,
03/11/2020,25189864846,Sold 9 JNJ @ 135.5085,9,JNJ,135.5085,0.00,1219.55,0.03,,,
03/11/2020,25189869898,Sold 11 KMB @ 135.025,11,KMB,135.025,0.00,1485.25,0.03,,,
03/11/2020,25189870581,Sold 16 MMM @ 148.165,16,MMM,148.165,0.00,2370.58,0.06,,,
03/11/2020,25189870616,Sold 1 MMM @ 148.1628,1,MMM,148.1628,0.00,148.16,,,,
03/11/2020,25189889809,Sold 14 MSFT @ 156.08,14,MSFT,156.08,0.00,2185.07,0.05,,,
03/11/2020,25190642696,QUALIFIED DIVIDEND (JNJ),,JNJ,,,33.85,,,,
03/11/2020,25190642714,Bought 0.249 JNJ @ 135.8033,0.249,JNJ,135.8033,,-33.85,,,,
03/11/2020,25195462534,Sold 0.11 CSCO @ 38.08,0.11,CSCO,38.08,,4.19,,,,
03/11/2020,25195470501,Sold 0.318 MMM @ 148.16,0.318,MMM,148.16,,47.12,,,,
03/12/2020,25199952922,QUALIFIED DIVIDEND (MMM),,MMM,,,18.11,,,,
03/13/2020,25243258512,Bought 8 MKC @ 131.785,8,MKC,131.785,0.00,-1054.28,,,,
03/13/2020,25243301420,Bought 3 FB @ 159.69,3,FB,159.69,0.00,-479.07,,,,
03/13/2020,25244033115,QUALIFIED DIVIDEND (MSFT),,MSFT,,,14.66,,,,
03/13/2020,25244033116,Bought 0.101 MSFT @ 144.5184,0.101,MSFT,144.5184,,-14.66,,,,
03/23/2020,25399839884,QUALIFIED DIVIDEND (D),,D,,,40.79,,,,
03/23/2020,25399839889,Bought 0.661 D @ 61.7169,0.661,D,61.7169,,-40.79,,,,
03/23/2020,25400160922,Bought 9 PEP @ 108.4924,9,PEP,108.4924,0.00,-976.43,,,,
03/23/2020,25400166682,Bought 1 GOOG @ 1059.805,1,GOOG,1059.805,0.00,-1059.81,,,,
03/23/2020,25400534397,Bought 9 JNJ @ 113.01,9,JNJ,113.01,0.00,-1017.09,,,,
03/27/2020,25512943134,Sold 30 D @ 72.9,30,D,72.90,0.00,2186.95,0.05,,,
03/27/2020,25512956134,Sold 12 PEP @ 121.07,12,PEP,121.07,0.00,1452.81,0.03,,,
03/27/2020,25512962889,Sold 9 JNJ @ 123.17,9,JNJ,123.17,0.00,1108.51,0.02,,,
03/27/2020,25512974521,Sold 7 MSFT @ 152.465,7,MSFT,152.465,0.00,1067.24,0.02,,,
03/27/2020,25512978868,Sold 1 GOOG @ 1114.778,1,GOOG,1114.778,0.00,1114.76,0.02,,,
03/27/2020,25512987745,Sold 8 MKC @ 130.89,8,MKC,130.89,0.00,1047.10,0.02,,,
03/27/2020,25512999515,Sold 1 AMZN @ 1911.5,1,AMZN,1911.50,0.00,1911.46,0.04,,,
03/27/2020,25513024212,Sold 16 VZ @ 52.325,16,VZ,52.325,0.00,837.18,0.02,,,
03/27/2020,25513024742,Sold 3 AAPL @ 251.925,3,AAPL,251.925,0.00,755.76,0.02,,,
03/27/2020,25513041820,Sold 5 KMB @ 124.735,5,KMB,124.735,0.00,623.67,0.01,,,
04/01/2020,25627738655,QUALIFIED DIVIDEND (PEP),,PEP,,,23.61,,,,
